Time (Start Fill = 34949)	BbunLen	Time (Start Fill = 34949)	YbunLen	Time (Start Fill = 34949)	BbunLen:2	Time (Start Fill = 34949)	YbunLen:2 [ns]
1723487469.000000	9.228398323	1723487469.000000	8.169589996	1723486654.000000	9.161279678	1723486654.000000	8.092421532
1723487514.000000	9.230143547	1723487514.000000	8.170401573	1723486702.000000	9.164455414	1723486702.000000	8.095529556
1723487565.000000	9.232201576	1723487565.000000	8.172610283	1723486753.000000	9.168554306	1723486753.000000	8.096719742
1723487616.000000	9.234299660	1723487616.000000	8.175619125	1723486804.000000	9.173771858	1723486804.000000	8.101590157
1723487682.000000	9.237303734	1723487682.000000	8.181806564	1723486870.000000	9.178730011	1723486870.000000	8.100683212
1723487808.000000	9.244740486	1723487808.000000	8.193136215	1723486996.000000	9.188228607	1723486996.000000	8.107027054
1723487855.000000	9.252771378	1723487855.000000	8.200454712	1723487042.000000	9.194386482	1723487042.000000	8.116715431
1723487901.000000	9.256843567	1723487901.000000	8.203392029	1723487088.000000	9.198474884	1723487088.000000	8.125455856
1723487952.000000	9.260460854	1723487952.000000	8.210440636	1723487139.000000	9.201732635	1723487139.000000	8.135526657
1723488003.000000	9.264464378	1723488003.000000	8.216403961	1723487190.000000	9.206935883	1723487190.000000	8.144230843
1723488070.000000	9.269453049	1723488070.000000	8.221335411	1723487256.000000	9.212254524	1723487256.000000	8.153953552
1723488196.000000	9.276744843	1723488196.000000	8.237247467	1723487382.000000	9.220646858	1723487382.000000	8.164558411
1723488243.000000	9.281073570	1723488243.000000	8.249399185	1723487428.000000	9.226242065	1723487428.000000	8.168812752
