Time (Start Fill = 34949)	WcmB	WcmY	DCCT_B	DCCT_Y	DxB7H	DxB7H_SD	DxB8H	DxB8H_SD
1723486654.000000	17190.423828125	12163.448242188	18202.869140625	12295.243164062	1.788833141	0.001374991	0.661583245	0.000969670
1723486702.000000	17197.240234375	12159.815429688	18199.990234375	12288.711914062	1.900499940	0.000929929	0.767083406	0.001072524
1723486753.000000	17205.814453125	12156.472656250	18197.705078125	12281.309570312	2.060714483	0.000632553	0.924214303	0.001311526
1723486804.000000	17214.441406250	12152.905273438	18195.968750000	12274.163085938	2.214714289	0.001088814	1.081071258	0.001283075
1723486870.000000	17222.578125000	12150.003906250	18194.027343750	12266.651367188	2.416841984	0.000791756	1.279894829	0.001576493
1723486996.000000	17232.925781250	12144.031250000	18189.927734375	12255.308593750	2.713691473	0.002198446	1.580564618	0.000773687
1723487042.000000	17229.546875000	12137.467773438	18184.892578125	12246.153320312	1.789916635	0.001694831	0.660583377	0.005223260
1723487088.000000	17221.992187500	12130.888671875	18181.453125000	12240.739257812	1.675333381	0.000971303	0.559333324	0.001161869
1723487139.000000	17212.925781250	12124.709960938	18177.898437500	12235.003906250	1.514999986	0.001117215	0.398357183	0.001684305
1723487190.000000	17205.507812500	12118.541015625	18174.748046875	12229.593750000	1.359857202	0.000490144	0.240785703	0.001847971
1723487256.000000	17197.259765625	12109.952148438	18172.199218750	12222.995117188	1.155555606	0.000838214	0.039888889	0.001711227
1723487382.000000	17187.154296875	12097.403320312	18168.158203125	12212.399414062	0.858282149	0.002025866	-0.265333325	0.002769036
1723487428.000000	17177.068359375	12087.453125000	18163.273437500	12204.180664062	1.791461468	0.001636629	0.644846261	0.005429320
