Time (Start Fill = 34949)	WcmB	WcmY	DCCT_B	DCCT_Y	DxB7V	DxB7V_SD	DxB8V	DxB8V_SD
1723487469.000000	17170.925781250	12083.447265625	18159.699218750	12199.817382812	-0.288500041	0.000896066	-0.904833376	0.001780393
1723487514.000000	17165.048828125	12077.947265625	18155.826171875	12194.422851562	-0.179583326	0.001312939	-0.797416687	0.001834271
1723487565.000000	17161.865234375	12070.797851562	18151.732421875	12187.552734375	-0.019071426	0.000828811	-0.636500001	0.001220492
1723487616.000000	17156.132812500	12064.122070312	18147.931640625	12180.812500000	0.136214301	0.001187857	-0.481428564	0.000839939
1723487682.000000	17149.429687500	12058.925781250	18144.904296875	12175.876953125	0.340631574	0.001603155	-0.284736812	0.001338428
1723487808.000000	17142.093750000	12052.913085938	18141.812500000	12169.946289062	0.639230847	0.001834816	0.014358973	0.001842325
1723487855.000000	17136.988281250	12045.416992188	18139.208984375	12163.301757812	-0.301153839	0.004949875	-0.886230767	0.001775361
1723487901.000000	17131.912109375	12041.043945312	18136.658203125	12158.468750000	-0.413833350	0.001030037	-0.989666700	0.000352521
1723487952.000000	17130.287109375	12035.930664062	18134.113281250	12153.141601562	-0.580428541	0.001308901	-1.144500017	0.001026958
1723488003.000000	17127.242187500	12030.227539062	18131.943359375	12147.519531250	-0.740642726	0.001371517	-1.295928717	0.001305393
1723488070.000000	17126.513671875	12025.041015625	18129.978515625	12142.069335938	-0.945473731	0.001318152	-1.495473981	0.000646063
1723488196.000000	17119.841796875	12019.986328125	18126.792968750	12136.433593750	-1.249948502	0.001551311	-1.791718125	0.001410066
1723488243.000000	17115.460937500	12014.451171875	18123.138671875	12131.232421875	-0.315333366	0.001661978	-0.881583393	0.001911546
