Time (Start Fill = 34785)	WcmB	WcmY	DCCT_B	DCCT_Y	DxY7H	DxY8H
1720720421.000000	14570.476562500	18178.839843750	15049.354492188	18334.572265625	2.354307652	0.522538483
1720720465.000000	14567.223632812	18176.087890625	15046.790039062	18331.941406250	2.470999956	0.624333382
1720720514.000000	14564.472656250	18173.080078125	15044.425781250	18329.373046875	2.638285875	0.778428555
1720720563.000000	14560.766601562	18170.267578125	15042.253906250	18326.861328125	2.798357248	0.928499997
1720720627.000000	14558.009765625	18164.689453125	15040.037109375	18323.955078125	2.998789549	1.123315930
1720720751.000000	14551.500000000	18158.722656250	15036.250976562	18318.894531250	3.295948029	1.412922859
1720720798.000000	14543.665039062	18152.888671875	15032.035156250	18314.253906250	2.359499931	0.517500043
1720720842.000000	14542.373046875	18146.597656250	15029.547851562	18311.773437500	2.249666691	0.410416692
1720720891.000000	14538.665039062	18144.701171875	15027.214843750	18309.523437500	2.075928688	0.261500001
1720720940.000000	14536.315429688	18143.263671875	15024.891601562	18307.298828125	1.914785624	0.112928577
1720721007.000000	14541.723632812	18145.349609375	15021.980468750	18304.175781250	1.707999945	-0.077631578
1720721132.000000	14555.170898438	18150.960937500	15017.582031250	18298.554687500	1.412487388	-0.372435808
1720721178.000000	14562.885742188	18156.078125000	15012.990234375	18292.277343750	2.353076935	0.512461543
