Time (Start Fill = 34785)	WcmB	WcmY	DCCT_B	DCCT_Y	DxY7V	DxY8V
1720719629.000000	14651.652343750	18234.658203125	15104.389648438	18369.876953125	-0.551083326	-1.239916682
1720719673.000000	14647.019531250	18230.302734375	15101.049804688	18367.800781250	-0.444538474	-1.125230908
1720719721.000000	14639.985351562	18228.826171875	15097.917968750	18365.652343750	-0.288928568	-0.953571379
1720719770.000000	14632.834960938	18223.376953125	15095.016601562	18363.273437500	-0.140000001	-0.788499951
1720719833.000000	14629.338867188	18221.058593750	15091.705078125	18360.191406250	0.046736844	-0.576052606
1720719958.000000	14619.008789062	18213.615234375	15083.606445312	18355.943359375	0.336692333	-0.268820524
1720720004.000000	14607.232421875	18207.867187500	15074.214843750	18352.607421875	-0.551166654	-1.224333286
1720720048.000000	14604.222656250	18204.640625000	15070.697265625	18350.617187500	-0.656230807	-1.340384841
1720720099.000000	14598.575195312	18201.085937500	15068.124023438	18348.666015625	-0.812928617	-1.508642912
1720720148.000000	14595.983398438	18200.675781250	15066.422851562	18346.830078125	-0.964928627	-1.667857289
1720720211.000000	14592.735351562	18195.021484375	15064.773437500	18344.771484375	-1.159947395	-1.871631622
1720720335.000000	14583.301757812	18189.544921875	15059.165039062	18341.130859375	-1.446076632	-2.178205729
1720720381.000000	14573.812500000	18181.996093750	15052.142578125	18337.041015625	-0.556166708	-1.216750145
